Process	CPU	Private Bytes	Working Set	PID	Description	Company Name
  MsMpEng.exe	1.64	156,004 K	211,328 K	2828	Antimalware Service Executable	Microsoft Corporation
  svchost.exe		1,280 K	5,480 K	3012	Host Process for Windows Services	Microsoft Corporation
  svchost.exe	6.22	43,396 K	70,708 K	3064	Host Process for Windows Services	Microsoft Corporation
   wuauclt.exe	35.13	104,360 K	114,884 K	6172	Windows Update	Microsoft Corporation
  NisSrv.exe		5,488 K	9,596 K	3212	Microsoft Network Realtime Inspection Service	Microsoft Corporation
  svchost.exe		2,924 K	12,564 K	3480	Host Process for Windows Services	Microsoft Corporation
  svchost.exe	< 0.01	5,916 K	26,732 K	3504	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		1,724 K	7,952 K	3688	Host Process for Windows Services	Microsoft Corporation
   ctfmon.exe	0.30	3,048 K	14,088 K	3748	CTF Loader	Microsoft Corporation
  svchost.exe		3,148 K	14,324 K	4048	Host Process for Windows Services	Microsoft Corporation
  dllhost.exe		3,820 K	13,136 K	4380	COM Surrogate	Microsoft Corporation
  msdtc.exe		3,076 K	10,380 K	4572	Microsoft Distributed Transaction Coordinator Service	Microsoft Corporation
  svchost.exe		4,472 K	15,468 K	5164	Host Process for Windows Services	Microsoft Corporation
  SearchIndexer.exe	0.07	33,384 K	39,844 K	6428	Microsoft Windows Search Indexer	Microsoft Corporation
   SearchProtocolHost.exe		2,480 K	8,924 K	7880	Microsoft Windows Search Protocol Host	Microsoft Corporation
  svchost.exe	0.03	19,512 K	28,588 K	4100	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		3,412 K	13,240 K	1872	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		2,024 K	7,388 K	6228	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		1,496 K	5,716 K	6660	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		3,804 K	9,144 K	5724	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		2,036 K	8,512 K	2924	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		2,784 K	12,028 K	7980	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		1,412 K	6,140 K	4816	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		10,016 K	21,252 K	4156	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		1,376 K	5,956 K	1416	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		4,224 K	13,564 K	5884	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		2,300 K	8,184 K	6552	Host Process for Windows Services	Microsoft Corporation
 lsass.exe	0.07	5,844 K	15,564 K	652	Local Security Authority Process	Microsoft Corporation
 fontdrvhost.exe		1,332 K	3,980 K	784	Usermode Font Driver Host	Microsoft Corporation
csrss.exe	0.33	1,860 K	5,020 K	516	Client Server Runtime Process	Microsoft Corporation
winlogon.exe		2,432 K	10,048 K	580	Windows Logon Application	Microsoft Corporation
 fontdrvhost.exe		2,184 K	8,008 K	776	Usermode Font Driver Host	Microsoft Corporation
 dwm.exe	1.39	60,160 K	98,520 K	996	Desktop Window Manager	Microsoft Corporation
explorer.exe	0.06	42,304 K	118,508 K	3520	Windows Explorer	Microsoft Corporation
 MSASCuiL.exe		1,852 K	9,552 K	6584	Windows Defender notification icon	Microsoft Corporation
 vmtoolsd.exe	0.04	7,228 K	21,448 K	6704	VMware Tools Core Service	VMware, Inc.
 OneDrive.exe		24,916 K	64,176 K	6768	Microsoft OneDrive	Microsoft Corporation
 firefox.exe	0.05	122,692 K	198,892 K	6904	Firefox	Mozilla Corporation
  firefox.exe		41,552 K	97,220 K	7484	Firefox	Mozilla Corporation
  firefox.exe		15,608 K	52,928 K	7796	Firefox	Mozilla Corporation
  firefox.exe	0.01	50,976 K	119,836 K	8008	Firefox	Mozilla Corporation
  firefox.exe		12,200 K	39,580 K	7200	Firefox	Mozilla Corporation
 procexp64.exe	4.18	22,428 K	57,724 K	6940	Sysinternals Process Explorer	Sysinternals - www.sysinternals.com

